FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CUURA423SAA,"Consumer Price Index for All Urban Consumers: Apparel in Seattle-Tacoma-Bellevue WA (CBSA), Index 1982-1984=100, Monthly, Not Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,CUURA423SAA
1964-07-01,#N/A
1964-08-01,48.1
1964-09-01,#N/A
1964-10-01,#N/A
1964-11-01,48.9
1964-12-01,#N/A
1965-01-01,#N/A
1965-02-01,48.8
1965-03-01,#N/A
1965-04-01,#N/A
1965-05-01,49
1965-06-01,#N/A
1965-07-01,#N/A
1965-08-01,48.7
1965-09-01,#N/A
1965-10-01,#N/A
1965-11-01,49.7
1965-12-01,#N/A
1966-01-01,#N/A
1966-02-01,50.1
1966-03-01,#N/A
1966-04-01,#N/A
1966-05-01,50.6
1966-06-01,#N/A
1966-07-01,#N/A
1966-08-01,50.2
1966-09-01,#N/A
1966-10-01,#N/A
1966-11-01,51
1966-12-01,#N/A
1967-01-01,#N/A
1967-02-01,51.4
1967-03-01,#N/A
1967-04-01,#N/A
1967-05-01,52.2
1967-06-01,#N/A
1967-07-01,#N/A
1967-08-01,52.3
1967-09-01,#N/A
1967-10-01,#N/A
1967-11-01,53.1
1967-12-01,#N/A
1968-01-01,#N/A
1968-02-01,52.9
1968-03-01,#N/A
1968-04-01,#N/A
1968-05-01,53.5
1968-06-01,#N/A
1968-07-01,#N/A
1968-08-01,53.6
1968-09-01,#N/A
1968-10-01,#N/A
1968-11-01,54.6
1968-12-01,#N/A
1969-01-01,#N/A
1969-02-01,54.7
1969-03-01,#N/A
1969-04-01,#N/A
1969-05-01,55.7
1969-06-01,#N/A
1969-07-01,#N/A
1969-08-01,55.7
1969-09-01,#N/A
1969-10-01,#N/A
1969-11-01,57.2
1969-12-01,#N/A
1970-01-01,#N/A
1970-02-01,57.1
1970-03-01,#N/A
1970-04-01,#N/A
1970-05-01,58.1
1970-06-01,#N/A
1970-07-01,#N/A
1970-08-01,58
1970-09-01,#N/A
1970-10-01,#N/A
1970-11-01,60
1970-12-01,#N/A
1971-01-01,#N/A
1971-02-01,59.5
1971-03-01,#N/A
1971-04-01,#N/A
1971-05-01,61.1
1971-06-01,#N/A
1971-07-01,#N/A
1971-08-01,60.3
1971-09-01,#N/A
1971-10-01,#N/A
1971-11-01,61.4
1971-12-01,#N/A
1972-01-01,#N/A
1972-02-01,61
1972-03-01,#N/A
1972-04-01,#N/A
1972-05-01,61
1972-06-01,#N/A
1972-07-01,#N/A
1972-08-01,60.8
1972-09-01,#N/A
1972-10-01,#N/A
1972-11-01,62.6
1972-12-01,#N/A
1973-01-01,#N/A
1973-02-01,62.9
1973-03-01,#N/A
1973-04-01,#N/A
1973-05-01,64.3
1973-06-01,#N/A
1973-07-01,#N/A
1973-08-01,64.1
1973-09-01,#N/A
1973-10-01,#N/A
1973-11-01,65.5
1973-12-01,#N/A
1974-01-01,#N/A
1974-02-01,65.8
1974-03-01,#N/A
1974-04-01,#N/A
1974-05-01,67.5
1974-06-01,#N/A
1974-07-01,#N/A
1974-08-01,68.6
1974-09-01,#N/A
1974-10-01,#N/A
1974-11-01,71.1
1974-12-01,#N/A
1975-01-01,#N/A
1975-02-01,71.8
1975-03-01,#N/A
1975-04-01,#N/A
1975-05-01,72.9
1975-06-01,#N/A
1975-07-01,#N/A
1975-08-01,72.5
1975-09-01,#N/A
1975-10-01,#N/A
1975-11-01,73.4
1975-12-01,#N/A
1976-01-01,#N/A
1976-02-01,75.4
1976-03-01,#N/A
1976-04-01,#N/A
1976-05-01,77.4
1976-06-01,#N/A
1976-07-01,#N/A
1976-08-01,76.9
1976-09-01,#N/A
1976-10-01,#N/A
1976-11-01,77.9
1976-12-01,#N/A
1977-01-01,#N/A
1977-02-01,78.5
1977-03-01,#N/A
1977-04-01,#N/A
1977-05-01,79.9
1977-06-01,#N/A
1977-07-01,#N/A
1977-08-01,80.6
1977-09-01,#N/A
1977-10-01,#N/A
1977-11-01,82.4
1977-12-01,#N/A
1978-01-01,81.6
1978-02-01,#N/A
1978-03-01,81.4
1978-04-01,#N/A
1978-05-01,82.8
1978-06-01,#N/A
1978-07-01,81.5
1978-08-01,#N/A
1978-09-01,84.2
1978-10-01,#N/A
1978-11-01,84
1978-12-01,#N/A
1979-01-01,82.8
1979-02-01,#N/A
1979-03-01,86.1
1979-04-01,#N/A
1979-05-01,87.6
1979-06-01,#N/A
1979-07-01,86.9
1979-08-01,#N/A
1979-09-01,89.4
1979-10-01,#N/A
1979-11-01,92.7
1979-12-01,#N/A
1980-01-01,90.6
1980-02-01,#N/A
1980-03-01,93.7
1980-04-01,#N/A
1980-05-01,92.3
1980-06-01,#N/A
1980-07-01,94.5
1980-08-01,#N/A
1980-09-01,98.8
1980-10-01,#N/A
1980-11-01,98.5
1980-12-01,#N/A
1981-01-01,96.8
1981-02-01,#N/A
1981-03-01,98
1981-04-01,#N/A
1981-05-01,98.8
1981-06-01,#N/A
1981-07-01,99.4
1981-08-01,#N/A
1981-09-01,100.4
1981-10-01,#N/A
1981-11-01,100.6
1981-12-01,#N/A
1982-01-01,97.7
1982-02-01,#N/A
1982-03-01,99.9
1982-04-01,#N/A
1982-05-01,99.3
1982-06-01,#N/A
1982-07-01,97.5
1982-08-01,#N/A
1982-09-01,102.9
1982-10-01,#N/A
1982-11-01,100.5
1982-12-01,#N/A
1983-01-01,96.9
1983-02-01,#N/A
1983-03-01,101.6
1983-04-01,#N/A
1983-05-01,103.1
1983-06-01,#N/A
1983-07-01,101.6
1983-08-01,#N/A
1983-09-01,103.6
1983-10-01,#N/A
1983-11-01,100.3
1983-12-01,#N/A
1984-01-01,97.3
1984-02-01,#N/A
1984-03-01,100.2
1984-04-01,#N/A
1984-05-01,98.2
1984-06-01,#N/A
1984-07-01,97.8
1984-08-01,#N/A
1984-09-01,101.6
1984-10-01,#N/A
1984-11-01,100.4
1984-12-01,#N/A
1985-01-01,96.9
1985-02-01,#N/A
1985-03-01,104.6
1985-04-01,#N/A
1985-05-01,100.6
1985-06-01,#N/A
1985-07-01,100.8
1985-08-01,#N/A
1985-09-01,107.8
1985-10-01,#N/A
1985-11-01,103.7
1985-12-01,#N/A
1986-01-01,99.2
1986-02-01,#N/A
1986-03-01,104
1986-04-01,#N/A
1986-05-01,103.9
1986-06-01,#N/A
1986-07-01,103.9
1986-08-01,#N/A
1986-09-01,108.3
1986-10-01,#N/A
1986-11-01,108.6
1986-12-01,105.1
1987-01-01,#N/A
1987-02-01,#N/A
1987-03-01,#N/A
1987-04-01,#N/A
1987-05-01,#N/A
1987-06-01,#N/A
1987-07-01,#N/A
1987-08-01,#N/A
1987-09-01,#N/A
1987-10-01,#N/A
1987-11-01,#N/A
1987-12-01,#N/A
1988-01-01,#N/A
1988-02-01,#N/A
1988-03-01,#N/A
1988-04-01,#N/A
1988-05-01,#N/A
1988-06-01,#N/A
1988-07-01,#N/A
1988-08-01,#N/A
1988-09-01,#N/A
1988-10-01,#N/A
1988-11-01,#N/A
1988-12-01,#N/A
1989-01-01,#N/A
1989-02-01,#N/A
1989-03-01,#N/A
1989-04-01,#N/A
1989-05-01,#N/A
1989-06-01,#N/A
1989-07-01,#N/A
1989-08-01,#N/A
1989-09-01,#N/A
1989-10-01,#N/A
1989-11-01,#N/A
1989-12-01,#N/A
1990-01-01,#N/A
1990-02-01,#N/A
1990-03-01,#N/A
1990-04-01,#N/A
1990-05-01,#N/A
1990-06-01,#N/A
1990-07-01,#N/A
1990-08-01,#N/A
1990-09-01,#N/A
1990-10-01,#N/A
1990-11-01,#N/A
1990-12-01,#N/A
1991-01-01,#N/A
1991-02-01,#N/A
1991-03-01,#N/A
1991-04-01,#N/A
1991-05-01,#N/A
1991-06-01,#N/A
1991-07-01,#N/A
1991-08-01,#N/A
1991-09-01,#N/A
1991-10-01,#N/A
1991-11-01,#N/A
1991-12-01,#N/A
1992-01-01,#N/A
1992-02-01,#N/A
1992-03-01,#N/A
1992-04-01,#N/A
1992-05-01,#N/A
1992-06-01,#N/A
1992-07-01,#N/A
1992-08-01,#N/A
1992-09-01,#N/A
1992-10-01,#N/A
1992-11-01,#N/A
1992-12-01,#N/A
1993-01-01,#N/A
1993-02-01,#N/A
1993-03-01,#N/A
1993-04-01,#N/A
1993-05-01,#N/A
1993-06-01,#N/A
1993-07-01,#N/A
1993-08-01,#N/A
1993-09-01,#N/A
1993-10-01,#N/A
1993-11-01,#N/A
1993-12-01,#N/A
1994-01-01,#N/A
1994-02-01,#N/A
1994-03-01,#N/A
1994-04-01,#N/A
1994-05-01,#N/A
1994-06-01,#N/A
1994-07-01,#N/A
1994-08-01,#N/A
1994-09-01,#N/A
1994-10-01,#N/A
1994-11-01,#N/A
1994-12-01,#N/A
1995-01-01,#N/A
1995-02-01,#N/A
1995-03-01,#N/A
1995-04-01,#N/A
1995-05-01,#N/A
1995-06-01,#N/A
1995-07-01,#N/A
1995-08-01,#N/A
1995-09-01,#N/A
1995-10-01,#N/A
1995-11-01,#N/A
1995-12-01,#N/A
1996-01-01,#N/A
1996-02-01,#N/A
1996-03-01,#N/A
1996-04-01,#N/A
1996-05-01,#N/A
1996-06-01,#N/A
1996-07-01,#N/A
1996-08-01,#N/A
1996-09-01,#N/A
1996-10-01,#N/A
1996-11-01,#N/A
1996-12-01,#N/A
1997-01-01,#N/A
1997-02-01,#N/A
1997-03-01,#N/A
1997-04-01,#N/A
1997-05-01,#N/A
1997-06-01,#N/A
1997-07-01,#N/A
1997-08-01,#N/A
1997-09-01,#N/A
1997-10-01,#N/A
1997-11-01,#N/A
1997-12-01,123.5
1998-01-01,#N/A
1998-02-01,126.9
1998-03-01,#N/A
1998-04-01,126.2
1998-05-01,#N/A
1998-06-01,122.8
1998-07-01,#N/A
1998-08-01,129.2
1998-09-01,#N/A
1998-10-01,129.8
1998-11-01,#N/A
1998-12-01,124.5
1999-01-01,#N/A
1999-02-01,126.1
1999-03-01,#N/A
1999-04-01,129
1999-05-01,#N/A
1999-06-01,124.3
1999-07-01,#N/A
1999-08-01,120.3
1999-09-01,#N/A
1999-10-01,128.7
1999-11-01,#N/A
1999-12-01,124.5
2000-01-01,#N/A
2000-02-01,127.4
2000-03-01,#N/A
2000-04-01,131.1
2000-05-01,#N/A
2000-06-01,125.6
2000-07-01,#N/A
2000-08-01,123.5
2000-09-01,#N/A
2000-10-01,130.6
2000-11-01,#N/A
2000-12-01,120.8
2001-01-01,#N/A
2001-02-01,128.3
2001-03-01,#N/A
2001-04-01,121.5
2001-05-01,#N/A
2001-06-01,122.8
2001-07-01,#N/A
2001-08-01,126.3
2001-09-01,#N/A
2001-10-01,126.4
2001-11-01,#N/A
2001-12-01,119.8
2002-01-01,#N/A
2002-02-01,124.9
2002-03-01,#N/A
2002-04-01,129.3
2002-05-01,#N/A
2002-06-01,128.8
2002-07-01,#N/A
2002-08-01,132.2
2002-09-01,#N/A
2002-10-01,130.9
2002-11-01,#N/A
2002-12-01,124.4
2003-01-01,#N/A
2003-02-01,127.8
2003-03-01,#N/A
2003-04-01,124.1
2003-05-01,#N/A
2003-06-01,121.8
2003-07-01,#N/A
2003-08-01,119.7
2003-09-01,#N/A
2003-10-01,127.6
2003-11-01,#N/A
2003-12-01,120.4
2004-01-01,#N/A
2004-02-01,120.9
2004-03-01,#N/A
2004-04-01,129.4
2004-05-01,#N/A
2004-06-01,127.2
2004-07-01,#N/A
2004-08-01,127.7
2004-09-01,#N/A
2004-10-01,131.6
2004-11-01,#N/A
2004-12-01,121
2005-01-01,#N/A
2005-02-01,121.8
2005-03-01,#N/A
2005-04-01,132.3
2005-05-01,#N/A
2005-06-01,120.6
2005-07-01,#N/A
2005-08-01,120.1
2005-09-01,#N/A
2005-10-01,121.7
2005-11-01,#N/A
2005-12-01,122.6
2006-01-01,#N/A
2006-02-01,116.3
2006-03-01,#N/A
2006-04-01,132.6
2006-05-01,#N/A
2006-06-01,123.8
2006-07-01,#N/A
2006-08-01,130.1
2006-09-01,#N/A
2006-10-01,130.9
2006-11-01,#N/A
2006-12-01,129.8
2007-01-01,#N/A
2007-02-01,129.884
2007-03-01,#N/A
2007-04-01,142.595
2007-05-01,#N/A
2007-06-01,132.144
2007-07-01,#N/A
2007-08-01,131.755
2007-09-01,#N/A
2007-10-01,140.164
2007-11-01,#N/A
2007-12-01,132.176
2008-01-01,#N/A
2008-02-01,136.447
2008-03-01,#N/A
2008-04-01,137.675
2008-05-01,#N/A
2008-06-01,133.782
2008-07-01,#N/A
2008-08-01,130.853
2008-09-01,#N/A
2008-10-01,131.176
2008-11-01,#N/A
2008-12-01,124.606
2009-01-01,#N/A
2009-02-01,133.25
2009-03-01,#N/A
2009-04-01,134.652
2009-05-01,#N/A
2009-06-01,136.516
2009-07-01,#N/A
2009-08-01,128.925
2009-09-01,#N/A
2009-10-01,136.118
2009-11-01,#N/A
2009-12-01,124.815
2010-01-01,#N/A
2010-02-01,130.682
2010-03-01,#N/A
2010-04-01,137.881
2010-05-01,#N/A
2010-06-01,136.09
2010-07-01,#N/A
2010-08-01,133.719
2010-09-01,#N/A
2010-10-01,136.597
2010-11-01,#N/A
2010-12-01,128.234
2011-01-01,#N/A
2011-02-01,125.774
2011-03-01,#N/A
2011-04-01,126.082
2011-05-01,#N/A
2011-06-01,130.218
2011-07-01,#N/A
2011-08-01,126.03
2011-09-01,#N/A
2011-10-01,137.292
2011-11-01,#N/A
2011-12-01,134.9
2012-01-01,#N/A
2012-02-01,133.04
2012-03-01,#N/A
2012-04-01,136.885
2012-05-01,#N/A
2012-06-01,132.928
2012-07-01,#N/A
2012-08-01,137.092
2012-09-01,#N/A
2012-10-01,144.295
2012-11-01,#N/A
2012-12-01,132.22
2013-01-01,#N/A
2013-02-01,136.004
2013-03-01,#N/A
2013-04-01,136.551
2013-05-01,#N/A
2013-06-01,132.247
2013-07-01,#N/A
2013-08-01,131.351
2013-09-01,#N/A
2013-10-01,133.666
2013-11-01,#N/A
2013-12-01,128.063
2014-01-01,#N/A
2014-02-01,125.787
2014-03-01,#N/A
2014-04-01,138.369
2014-05-01,#N/A
2014-06-01,131.654
2014-07-01,#N/A
2014-08-01,132.457
2014-09-01,#N/A
2014-10-01,131.034
2014-11-01,#N/A
2014-12-01,120.679
2015-01-01,#N/A
2015-02-01,126.499
2015-03-01,#N/A
2015-04-01,132.471
2015-05-01,#N/A
2015-06-01,127.922
2015-07-01,#N/A
2015-08-01,130.658
2015-09-01,#N/A
2015-10-01,133.721
2015-11-01,#N/A
2015-12-01,128.155
2016-01-01,#N/A
2016-02-01,127.786
2016-03-01,#N/A
2016-04-01,134.739
2016-05-01,#N/A
2016-06-01,131.385
2016-07-01,#N/A
2016-08-01,128.977
2016-09-01,#N/A
2016-10-01,134.032
2016-11-01,#N/A
2016-12-01,121.373
2017-01-01,#N/A
2017-02-01,124.659
2017-03-01,#N/A
2017-04-01,128.106
2017-05-01,#N/A
2017-06-01,140.716
2017-07-01,#N/A
2017-08-01,137.89
2017-09-01,#N/A
2017-10-01,132.258
2017-11-01,#N/A
2017-12-01,121.011
2018-01-01,#N/A
2018-02-01,132.404
2018-03-01,#N/A
2018-04-01,135.942
2018-05-01,#N/A
2018-06-01,123.633
2018-07-01,#N/A
2018-08-01,124.745
2018-09-01,#N/A
2018-10-01,127.139
2018-11-01,#N/A
2018-12-01,121.865
2019-01-01,#N/A
2019-02-01,131.351
2019-03-01,#N/A
2019-04-01,130.313
2019-05-01,#N/A
2019-06-01,130.11
2019-07-01,#N/A
2019-08-01,128.469
2019-09-01,#N/A
2019-10-01,126.699
2019-11-01,#N/A
2019-12-01,125.011
2020-01-01,#N/A
2020-02-01,124.623
2020-03-01,#N/A
2020-04-01,118.257
2020-05-01,#N/A
2020-06-01,123.056
2020-07-01,#N/A
2020-08-01,128.329
2020-09-01,#N/A
2020-10-01,126.898
2020-11-01,#N/A
2020-12-01,123.089
2021-01-01,#N/A
2021-02-01,124.238
2021-03-01,#N/A
2021-04-01,125.187
2021-05-01,#N/A
2021-06-01,133.292
2021-07-01,#N/A
2021-08-01,135.178
2021-09-01,#N/A
2021-10-01,129.504
2021-11-01,#N/A
2021-12-01,127.079
2022-01-01,#N/A
2022-02-01,135.405
2022-03-01,#N/A
2022-04-01,130.787
