FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CUURA423SACL1,"Consumer Price Index for All Urban Consumers: Commodities Less Food in Seattle-Tacoma-Bellevue WA (CBSA), Index 1982-1984=100, Monthly, Not Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,CUURA423SACL1
1978-06-01,#N/A
1978-07-01,67.6
1978-08-01,#N/A
1978-09-01,69.8
1978-10-01,#N/A
1978-11-01,70.6
1978-12-01,#N/A
1979-01-01,69.1
1979-02-01,#N/A
1979-03-01,70.3
1979-04-01,#N/A
1979-05-01,72.8
1979-06-01,#N/A
1979-07-01,75.1
1979-08-01,#N/A
1979-09-01,77.5
1979-10-01,#N/A
1979-11-01,79.1
1979-12-01,#N/A
1980-01-01,81.6
1980-02-01,#N/A
1980-03-01,84.5
1980-04-01,#N/A
1980-05-01,85.4
1980-06-01,#N/A
1980-07-01,87
1980-08-01,#N/A
1980-09-01,89
1980-10-01,#N/A
1980-11-01,89.5
1980-12-01,#N/A
1981-01-01,89.2
1981-02-01,#N/A
1981-03-01,90.7
1981-04-01,#N/A
1981-05-01,92.5
1981-06-01,#N/A
1981-07-01,94.8
1981-08-01,#N/A
1981-09-01,95.3
1981-10-01,#N/A
1981-11-01,96.1
1981-12-01,#N/A
1982-01-01,97.2
1982-02-01,#N/A
1982-03-01,97
1982-04-01,#N/A
1982-05-01,97
1982-06-01,#N/A
1982-07-01,98.1
1982-08-01,#N/A
1982-09-01,98.8
1982-10-01,#N/A
1982-11-01,97.8
1982-12-01,#N/A
1983-01-01,96.3
1983-02-01,#N/A
1983-03-01,95.5
1983-04-01,#N/A
1983-05-01,98.5
1983-06-01,#N/A
1983-07-01,101.3
1983-08-01,#N/A
1983-09-01,102.5
1983-10-01,#N/A
1983-11-01,101.9
1983-12-01,#N/A
1984-01-01,100.7
1984-02-01,#N/A
1984-03-01,101
1984-04-01,#N/A
1984-05-01,103.3
1984-06-01,#N/A
1984-07-01,103.2
1984-08-01,#N/A
1984-09-01,104.1
1984-10-01,#N/A
1984-11-01,104.2
1984-12-01,#N/A
1985-01-01,104.4
1985-02-01,#N/A
1985-03-01,105.2
1985-04-01,#N/A
1985-05-01,104.7
1985-06-01,#N/A
1985-07-01,104.5
1985-08-01,#N/A
1985-09-01,104.2
1985-10-01,#N/A
1985-11-01,104.5
1985-12-01,#N/A
1986-01-01,104.3
1986-02-01,#N/A
1986-03-01,100.9
1986-04-01,#N/A
1986-05-01,99.6
1986-06-01,#N/A
1986-07-01,99.5
1986-08-01,#N/A
1986-09-01,100.2
1986-10-01,#N/A
1986-11-01,98.9
1986-12-01,98.1
1987-01-01,#N/A
1987-02-01,#N/A
1987-03-01,#N/A
1987-04-01,#N/A
1987-05-01,#N/A
1987-06-01,#N/A
1987-07-01,#N/A
1987-08-01,#N/A
1987-09-01,#N/A
1987-10-01,#N/A
1987-11-01,#N/A
1987-12-01,#N/A
1988-01-01,#N/A
1988-02-01,#N/A
1988-03-01,#N/A
1988-04-01,#N/A
1988-05-01,#N/A
1988-06-01,#N/A
1988-07-01,#N/A
1988-08-01,#N/A
1988-09-01,#N/A
1988-10-01,#N/A
1988-11-01,#N/A
1988-12-01,#N/A
1989-01-01,#N/A
1989-02-01,#N/A
1989-03-01,#N/A
1989-04-01,#N/A
1989-05-01,#N/A
1989-06-01,#N/A
1989-07-01,#N/A
1989-08-01,#N/A
1989-09-01,#N/A
1989-10-01,#N/A
1989-11-01,#N/A
1989-12-01,#N/A
1990-01-01,#N/A
1990-02-01,#N/A
1990-03-01,#N/A
1990-04-01,#N/A
1990-05-01,#N/A
1990-06-01,#N/A
1990-07-01,#N/A
1990-08-01,#N/A
1990-09-01,#N/A
1990-10-01,#N/A
1990-11-01,#N/A
1990-12-01,#N/A
1991-01-01,#N/A
1991-02-01,#N/A
1991-03-01,#N/A
1991-04-01,#N/A
1991-05-01,#N/A
1991-06-01,#N/A
1991-07-01,#N/A
1991-08-01,#N/A
1991-09-01,#N/A
1991-10-01,#N/A
1991-11-01,#N/A
1991-12-01,#N/A
1992-01-01,#N/A
1992-02-01,#N/A
1992-03-01,#N/A
1992-04-01,#N/A
1992-05-01,#N/A
1992-06-01,#N/A
1992-07-01,#N/A
1992-08-01,#N/A
1992-09-01,#N/A
1992-10-01,#N/A
1992-11-01,#N/A
1992-12-01,#N/A
1993-01-01,#N/A
1993-02-01,#N/A
1993-03-01,#N/A
1993-04-01,#N/A
1993-05-01,#N/A
1993-06-01,#N/A
1993-07-01,#N/A
1993-08-01,#N/A
1993-09-01,#N/A
1993-10-01,#N/A
1993-11-01,#N/A
1993-12-01,#N/A
1994-01-01,#N/A
1994-02-01,#N/A
1994-03-01,#N/A
1994-04-01,#N/A
1994-05-01,#N/A
1994-06-01,#N/A
1994-07-01,#N/A
1994-08-01,#N/A
1994-09-01,#N/A
1994-10-01,#N/A
1994-11-01,#N/A
1994-12-01,#N/A
1995-01-01,#N/A
1995-02-01,#N/A
1995-03-01,#N/A
1995-04-01,#N/A
1995-05-01,#N/A
1995-06-01,#N/A
1995-07-01,#N/A
1995-08-01,#N/A
1995-09-01,#N/A
1995-10-01,#N/A
1995-11-01,#N/A
1995-12-01,#N/A
1996-01-01,#N/A
1996-02-01,#N/A
1996-03-01,#N/A
1996-04-01,#N/A
1996-05-01,#N/A
1996-06-01,#N/A
1996-07-01,#N/A
1996-08-01,#N/A
1996-09-01,#N/A
1996-10-01,#N/A
1996-11-01,#N/A
1996-12-01,#N/A
1997-01-01,#N/A
1997-02-01,#N/A
1997-03-01,#N/A
1997-04-01,#N/A
1997-05-01,#N/A
1997-06-01,#N/A
1997-07-01,#N/A
1997-08-01,#N/A
1997-09-01,#N/A
1997-10-01,#N/A
1997-11-01,#N/A
1997-12-01,141.9
1998-01-01,#N/A
1998-02-01,140.6
1998-03-01,#N/A
1998-04-01,140.1
1998-05-01,#N/A
1998-06-01,140.4
1998-07-01,#N/A
1998-08-01,140.4
1998-09-01,#N/A
1998-10-01,139.6
1998-11-01,#N/A
1998-12-01,139
1999-01-01,#N/A
1999-02-01,138.8
1999-03-01,#N/A
1999-04-01,143.5
1999-05-01,#N/A
1999-06-01,142.4
1999-07-01,#N/A
1999-08-01,142.4
1999-09-01,#N/A
1999-10-01,143.9
1999-11-01,#N/A
1999-12-01,143.3
2000-01-01,#N/A
2000-02-01,144.8
2000-03-01,#N/A
2000-04-01,148.5
2000-05-01,#N/A
2000-06-01,148.6
2000-07-01,#N/A
2000-08-01,149.3
2000-09-01,#N/A
2000-10-01,152
2000-11-01,#N/A
2000-12-01,150.6
2001-01-01,#N/A
2001-02-01,149.7
2001-03-01,#N/A
2001-04-01,148.9
2001-05-01,#N/A
2001-06-01,150.4
2001-07-01,#N/A
2001-08-01,149.2
2001-09-01,#N/A
2001-10-01,151.4
2001-11-01,#N/A
2001-12-01,146.5
2002-01-01,#N/A
2002-02-01,146.5
2002-03-01,#N/A
2002-04-01,149.9
2002-05-01,#N/A
2002-06-01,150.4
2002-07-01,#N/A
2002-08-01,151.2
2002-09-01,#N/A
2002-10-01,150.3
2002-11-01,#N/A
2002-12-01,149
2003-01-01,#N/A
2003-02-01,151.2
2003-03-01,#N/A
2003-04-01,152.4
2003-05-01,#N/A
2003-06-01,147.8
2003-07-01,#N/A
2003-08-01,150.9
2003-09-01,#N/A
2003-10-01,149.7
2003-11-01,#N/A
2003-12-01,145
2004-01-01,#N/A
2004-02-01,148.7
2004-03-01,#N/A
2004-04-01,153.8
2004-05-01,#N/A
2004-06-01,156.8
2004-07-01,#N/A
2004-08-01,154.1
2004-09-01,#N/A
2004-10-01,156
2004-11-01,#N/A
2004-12-01,151.8
2005-01-01,#N/A
2005-02-01,155.1
2005-03-01,#N/A
2005-04-01,162.4
2005-05-01,#N/A
2005-06-01,158.7
2005-07-01,#N/A
2005-08-01,158.8
2005-09-01,#N/A
2005-10-01,162.2
2005-11-01,#N/A
2005-12-01,155.6
2006-01-01,#N/A
2006-02-01,155.2
2006-03-01,#N/A
2006-04-01,163.3
2006-05-01,#N/A
2006-06-01,164.5
2006-07-01,#N/A
2006-08-01,164.3
2006-09-01,#N/A
2006-10-01,160.8
2006-11-01,#N/A
2006-12-01,161.4
2007-01-01,#N/A
2007-02-01,161.026
2007-03-01,#N/A
2007-04-01,169.058
2007-05-01,#N/A
2007-06-01,167.591
2007-07-01,#N/A
2007-08-01,163.174
2007-09-01,#N/A
2007-10-01,166.585
2007-11-01,#N/A
2007-12-01,166.795
2008-01-01,#N/A
2008-02-01,167.088
2008-03-01,#N/A
2008-04-01,170.113
2008-05-01,#N/A
2008-06-01,176.962
2008-07-01,#N/A
2008-08-01,172.961
2008-09-01,#N/A
2008-10-01,163.474
2008-11-01,#N/A
2008-12-01,150.748
2009-01-01,#N/A
2009-02-01,153.438
2009-03-01,#N/A
2009-04-01,156.706
2009-05-01,#N/A
2009-06-01,160.938
2009-07-01,#N/A
2009-08-01,160.217
2009-09-01,#N/A
2009-10-01,161.26
2009-11-01,#N/A
2009-12-01,160.283
2010-01-01,#N/A
2010-02-01,161.852
2010-03-01,#N/A
2010-04-01,164.792
2010-05-01,#N/A
2010-06-01,163.959
2010-07-01,#N/A
2010-08-01,165.462
2010-09-01,#N/A
2010-10-01,165.536
2010-11-01,#N/A
2010-12-01,163.696
2011-01-01,#N/A
2011-02-01,166.001
2011-03-01,#N/A
2011-04-01,171.21
2011-05-01,#N/A
2011-06-01,172.73
2011-07-01,#N/A
2011-08-01,171.533
2011-09-01,#N/A
2011-10-01,173.538
2011-11-01,#N/A
2011-12-01,168.966
2012-01-01,#N/A
2012-02-01,170.22
2012-03-01,#N/A
2012-04-01,175.207
2012-05-01,#N/A
2012-06-01,175.118
2012-07-01,#N/A
2012-08-01,174.22
2012-09-01,#N/A
2012-10-01,176.669
2012-11-01,#N/A
2012-12-01,167.244
2013-01-01,#N/A
2013-02-01,171.048
2013-03-01,#N/A
2013-04-01,171.282
2013-05-01,#N/A
2013-06-01,172.597
2013-07-01,#N/A
2013-08-01,171.669
2013-09-01,#N/A
2013-10-01,170.046
2013-11-01,#N/A
2013-12-01,165.443
2014-01-01,#N/A
2014-02-01,166.315
2014-03-01,#N/A
2014-04-01,171.946
2014-05-01,#N/A
2014-06-01,171.242
2014-07-01,#N/A
2014-08-01,170.191
2014-09-01,#N/A
2014-10-01,166.491
2014-11-01,#N/A
2014-12-01,159.202
2015-01-01,#N/A
2015-02-01,155.324
2015-03-01,#N/A
2015-04-01,158.231
2015-05-01,#N/A
2015-06-01,160.72
2015-07-01,#N/A
2015-08-01,160.791
2015-09-01,#N/A
2015-10-01,155.7
2015-11-01,#N/A
2015-12-01,153.878
2016-01-01,#N/A
2016-02-01,151.43
2016-03-01,#N/A
2016-04-01,153.869
2016-05-01,#N/A
2016-06-01,155.489
2016-07-01,#N/A
2016-08-01,154.609
2016-09-01,#N/A
2016-10-01,156.533
2016-11-01,#N/A
2016-12-01,152.049
2017-01-01,#N/A
2017-02-01,155.843
2017-03-01,#N/A
2017-04-01,158.066
2017-05-01,#N/A
2017-06-01,159.041
2017-07-01,#N/A
2017-08-01,156.333
2017-09-01,#N/A
2017-10-01,155.277
2017-11-01,#N/A
2017-12-01,154.903
2018-01-01,#N/A
2018-02-01,156.366
2018-03-01,#N/A
2018-04-01,159.449
2018-05-01,#N/A
2018-06-01,160.13
2018-07-01,#N/A
2018-08-01,157.588
2018-09-01,#N/A
2018-10-01,159.524
2018-11-01,#N/A
2018-12-01,157.541
2019-01-01,#N/A
2019-02-01,160.346
2019-03-01,#N/A
2019-04-01,159.612
2019-05-01,#N/A
2019-06-01,162.157
2019-07-01,#N/A
2019-08-01,161.017
2019-09-01,#N/A
2019-10-01,158.388
2019-11-01,#N/A
2019-12-01,155.237
2020-01-01,#N/A
2020-02-01,159.452
2020-03-01,#N/A
2020-04-01,154.822
2020-05-01,#N/A
2020-06-01,154.58
2020-07-01,#N/A
2020-08-01,160.703
2020-09-01,#N/A
2020-10-01,158.605
2020-11-01,#N/A
2020-12-01,157.067
2021-01-01,#N/A
2021-02-01,160.914
2021-03-01,#N/A
2021-04-01,165.285
2021-05-01,#N/A
2021-06-01,177.385
2021-07-01,#N/A
2021-08-01,183.22
2021-09-01,#N/A
2021-10-01,184.648
2021-11-01,#N/A
2021-12-01,186.353
2022-01-01,#N/A
2022-02-01,190.683
2022-03-01,#N/A
2022-04-01,191.747
