FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CUURA423SAF,"Consumer Price Index for All Urban Consumers: Food and Beverages in Seattle-Tacoma-Bellevue WA (CBSA), Index 1982-1984=100, Monthly, Not Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,CUURA423SAF
1987-08-01,#N/A
1987-09-01,#N/A
1987-10-01,#N/A
1987-11-01,#N/A
1987-12-01,#N/A
1988-01-01,#N/A
1988-02-01,#N/A
1988-03-01,#N/A
1988-04-01,#N/A
1988-05-01,#N/A
1988-06-01,#N/A
1988-07-01,#N/A
1988-08-01,#N/A
1988-09-01,#N/A
1988-10-01,#N/A
1988-11-01,#N/A
1988-12-01,#N/A
1989-01-01,#N/A
1989-02-01,#N/A
1989-03-01,#N/A
1989-04-01,#N/A
1989-05-01,#N/A
1989-06-01,#N/A
1989-07-01,#N/A
1989-08-01,#N/A
1989-09-01,#N/A
1989-10-01,#N/A
1989-11-01,#N/A
1989-12-01,#N/A
1990-01-01,#N/A
1990-02-01,#N/A
1990-03-01,#N/A
1990-04-01,#N/A
1990-05-01,#N/A
1990-06-01,#N/A
1990-07-01,#N/A
1990-08-01,#N/A
1990-09-01,#N/A
1990-10-01,#N/A
1990-11-01,#N/A
1990-12-01,#N/A
1991-01-01,#N/A
1991-02-01,#N/A
1991-03-01,#N/A
1991-04-01,#N/A
1991-05-01,#N/A
1991-06-01,#N/A
1991-07-01,#N/A
1991-08-01,#N/A
1991-09-01,#N/A
1991-10-01,#N/A
1991-11-01,#N/A
1991-12-01,#N/A
1992-01-01,#N/A
1992-02-01,#N/A
1992-03-01,#N/A
1992-04-01,#N/A
1992-05-01,#N/A
1992-06-01,#N/A
1992-07-01,#N/A
1992-08-01,#N/A
1992-09-01,#N/A
1992-10-01,#N/A
1992-11-01,#N/A
1992-12-01,#N/A
1993-01-01,#N/A
1993-02-01,#N/A
1993-03-01,#N/A
1993-04-01,#N/A
1993-05-01,#N/A
1993-06-01,#N/A
1993-07-01,#N/A
1993-08-01,#N/A
1993-09-01,#N/A
1993-10-01,#N/A
1993-11-01,#N/A
1993-12-01,#N/A
1994-01-01,#N/A
1994-02-01,#N/A
1994-03-01,#N/A
1994-04-01,#N/A
1994-05-01,#N/A
1994-06-01,#N/A
1994-07-01,#N/A
1994-08-01,#N/A
1994-09-01,#N/A
1994-10-01,#N/A
1994-11-01,#N/A
1994-12-01,#N/A
1995-01-01,#N/A
1995-02-01,#N/A
1995-03-01,#N/A
1995-04-01,#N/A
1995-05-01,#N/A
1995-06-01,#N/A
1995-07-01,#N/A
1995-08-01,#N/A
1995-09-01,#N/A
1995-10-01,#N/A
1995-11-01,#N/A
1995-12-01,#N/A
1996-01-01,#N/A
1996-02-01,#N/A
1996-03-01,#N/A
1996-04-01,#N/A
1996-05-01,#N/A
1996-06-01,#N/A
1996-07-01,#N/A
1996-08-01,#N/A
1996-09-01,#N/A
1996-10-01,#N/A
1996-11-01,#N/A
1996-12-01,#N/A
1997-01-01,#N/A
1997-02-01,#N/A
1997-03-01,#N/A
1997-04-01,#N/A
1997-05-01,#N/A
1997-06-01,#N/A
1997-07-01,#N/A
1997-08-01,#N/A
1997-09-01,#N/A
1997-10-01,#N/A
1997-11-01,#N/A
1997-12-01,161.5
1998-01-01,#N/A
1998-02-01,165.6
1998-03-01,#N/A
1998-04-01,162.9
1998-05-01,#N/A
1998-06-01,163.9
1998-07-01,#N/A
1998-08-01,165.6
1998-09-01,#N/A
1998-10-01,167.7
1998-11-01,#N/A
1998-12-01,167.3
1999-01-01,#N/A
1999-02-01,169.5
1999-03-01,#N/A
1999-04-01,168.8
1999-05-01,#N/A
1999-06-01,168.6
1999-07-01,#N/A
1999-08-01,170
1999-09-01,#N/A
1999-10-01,170.6
1999-11-01,#N/A
1999-12-01,170.7
2000-01-01,#N/A
2000-02-01,171.5
2000-03-01,#N/A
2000-04-01,172.9
2000-05-01,#N/A
2000-06-01,173.1
2000-07-01,#N/A
2000-08-01,173.8
2000-09-01,#N/A
2000-10-01,176.8
2000-11-01,#N/A
2000-12-01,175.6
2001-01-01,#N/A
2001-02-01,180.1
2001-03-01,#N/A
2001-04-01,179.9
2001-05-01,#N/A
2001-06-01,182.9
2001-07-01,#N/A
2001-08-01,180.6
2001-09-01,#N/A
2001-10-01,183.4
2001-11-01,#N/A
2001-12-01,181.6
2002-01-01,#N/A
2002-02-01,185.6
2002-03-01,#N/A
2002-04-01,183.3
2002-05-01,#N/A
2002-06-01,184.5
2002-07-01,#N/A
2002-08-01,184.8
2002-09-01,#N/A
2002-10-01,186.8
2002-11-01,#N/A
2002-12-01,186.8
2003-01-01,#N/A
2003-02-01,188.8
2003-03-01,#N/A
2003-04-01,189
2003-05-01,#N/A
2003-06-01,188.5
2003-07-01,#N/A
2003-08-01,192
2003-09-01,#N/A
2003-10-01,193.2
2003-11-01,#N/A
2003-12-01,191.8
2004-01-01,#N/A
2004-02-01,194.5
2004-03-01,#N/A
2004-04-01,195.1
2004-05-01,#N/A
2004-06-01,194.9
2004-07-01,#N/A
2004-08-01,193.7
2004-09-01,#N/A
2004-10-01,196.9
2004-11-01,#N/A
2004-12-01,197.7
2005-01-01,#N/A
2005-02-01,197.8
2005-03-01,#N/A
2005-04-01,201.2
2005-05-01,#N/A
2005-06-01,199.6
2005-07-01,#N/A
2005-08-01,200.2
2005-09-01,#N/A
2005-10-01,204
2005-11-01,#N/A
2005-12-01,202.4
2006-01-01,#N/A
2006-02-01,204.3
2006-03-01,#N/A
2006-04-01,204.5
2006-05-01,#N/A
2006-06-01,206.1
2006-07-01,#N/A
2006-08-01,208.7
2006-09-01,#N/A
2006-10-01,208.4
2006-11-01,#N/A
2006-12-01,208.9
2007-01-01,#N/A
2007-02-01,212.437
2007-03-01,#N/A
2007-04-01,212.87
2007-05-01,#N/A
2007-06-01,214.297
2007-07-01,#N/A
2007-08-01,215.338
2007-09-01,#N/A
2007-10-01,219.117
2007-11-01,#N/A
2007-12-01,219.32
2008-01-01,#N/A
2008-02-01,221.423
2008-03-01,#N/A
2008-04-01,224.033
2008-05-01,#N/A
2008-06-01,227.185
2008-07-01,#N/A
2008-08-01,227.757
2008-09-01,#N/A
2008-10-01,232.251
2008-11-01,#N/A
2008-12-01,231.378
2009-01-01,#N/A
2009-02-01,233.051
2009-03-01,#N/A
2009-04-01,230.688
2009-05-01,#N/A
2009-06-01,230.551
2009-07-01,#N/A
2009-08-01,229.299
2009-09-01,#N/A
2009-10-01,225.482
2009-11-01,#N/A
2009-12-01,225.899
2010-01-01,#N/A
2010-02-01,228.216
2010-03-01,#N/A
2010-04-01,229.654
2010-05-01,#N/A
2010-06-01,227.634
2010-07-01,#N/A
2010-08-01,229.048
2010-09-01,#N/A
2010-10-01,230.299
2010-11-01,#N/A
2010-12-01,228.818
2011-01-01,#N/A
2011-02-01,232.844
2011-03-01,#N/A
2011-04-01,235.012
2011-05-01,#N/A
2011-06-01,239.028
2011-07-01,#N/A
2011-08-01,239.303
2011-09-01,#N/A
2011-10-01,239.523
2011-11-01,#N/A
2011-12-01,239.846
2012-01-01,#N/A
2012-02-01,240.046
2012-03-01,#N/A
2012-04-01,238.725
2012-05-01,#N/A
2012-06-01,242.23
2012-07-01,#N/A
2012-08-01,243.541
2012-09-01,#N/A
2012-10-01,243.147
2012-11-01,#N/A
2012-12-01,244.058
2013-01-01,#N/A
2013-02-01,245.185
2013-03-01,#N/A
2013-04-01,246.471
2013-05-01,#N/A
2013-06-01,244.971
2013-07-01,#N/A
2013-08-01,245.094
2013-09-01,#N/A
2013-10-01,247.647
2013-11-01,#N/A
2013-12-01,248.062
2014-01-01,#N/A
2014-02-01,250.275
2014-03-01,#N/A
2014-04-01,252.346
2014-05-01,#N/A
2014-06-01,250.598
2014-07-01,#N/A
2014-08-01,251.651
2014-09-01,#N/A
2014-10-01,255.312
2014-11-01,#N/A
2014-12-01,256.888
2015-01-01,#N/A
2015-02-01,256.357
2015-03-01,#N/A
2015-04-01,256.016
2015-05-01,#N/A
2015-06-01,257.481
2015-07-01,#N/A
2015-08-01,259.64
2015-09-01,#N/A
2015-10-01,260.193
2015-11-01,#N/A
2015-12-01,259.884
2016-01-01,#N/A
2016-02-01,258.926
2016-03-01,#N/A
2016-04-01,260.868
2016-05-01,#N/A
2016-06-01,260.551
2016-07-01,#N/A
2016-08-01,260.776
2016-09-01,#N/A
2016-10-01,261.87
2016-11-01,#N/A
2016-12-01,259.388
2017-01-01,#N/A
2017-02-01,263.361
2017-03-01,#N/A
2017-04-01,264.898
2017-05-01,#N/A
2017-06-01,264.649
2017-07-01,#N/A
2017-08-01,266.033
2017-09-01,#N/A
2017-10-01,267.2
2017-11-01,#N/A
2017-12-01,265.968
2018-01-01,#N/A
2018-02-01,266.607
2018-03-01,#N/A
2018-04-01,270.72
2018-05-01,#N/A
2018-06-01,269.717
2018-07-01,#N/A
2018-08-01,271.179
2018-09-01,#N/A
2018-10-01,272.744
2018-11-01,#N/A
2018-12-01,273.116
2019-01-01,#N/A
2019-02-01,275.395
2019-03-01,#N/A
2019-04-01,274.083
2019-05-01,#N/A
2019-06-01,275.571
2019-07-01,#N/A
2019-08-01,276.599
2019-09-01,#N/A
2019-10-01,278.101
2019-11-01,#N/A
2019-12-01,277.735
2020-01-01,#N/A
2020-02-01,280.295
2020-03-01,#N/A
2020-04-01,286.133
2020-05-01,#N/A
2020-06-01,288.774
2020-07-01,#N/A
2020-08-01,292.042
2020-09-01,#N/A
2020-10-01,289.724
2020-11-01,#N/A
2020-12-01,290.379
2021-01-01,#N/A
2021-02-01,293.972
2021-03-01,#N/A
2021-04-01,297.714
2021-05-01,#N/A
2021-06-01,305.062
2021-07-01,#N/A
2021-08-01,309.258
2021-09-01,#N/A
2021-10-01,313.134
2021-11-01,#N/A
2021-12-01,316.117
2022-01-01,#N/A
2022-02-01,323.276
2022-03-01,#N/A
2022-04-01,329.85
