FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CUURA423SAF116,"Consumer Price Index for All Urban Consumers: Alcoholic Beverages in Seattle-Tacoma-Bellevue WA (CBSA), Index 1982-1984=100, Monthly, Not Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,CUURA423SAF116
1987-09-01,#N/A
1987-10-01,#N/A
1987-11-01,#N/A
1987-12-01,#N/A
1988-01-01,#N/A
1988-02-01,#N/A
1988-03-01,#N/A
1988-04-01,#N/A
1988-05-01,#N/A
1988-06-01,#N/A
1988-07-01,#N/A
1988-08-01,#N/A
1988-09-01,#N/A
1988-10-01,#N/A
1988-11-01,#N/A
1988-12-01,#N/A
1989-01-01,#N/A
1989-02-01,#N/A
1989-03-01,#N/A
1989-04-01,#N/A
1989-05-01,#N/A
1989-06-01,#N/A
1989-07-01,#N/A
1989-08-01,#N/A
1989-09-01,#N/A
1989-10-01,#N/A
1989-11-01,#N/A
1989-12-01,#N/A
1990-01-01,#N/A
1990-02-01,#N/A
1990-03-01,#N/A
1990-04-01,#N/A
1990-05-01,#N/A
1990-06-01,#N/A
1990-07-01,#N/A
1990-08-01,#N/A
1990-09-01,#N/A
1990-10-01,#N/A
1990-11-01,#N/A
1990-12-01,#N/A
1991-01-01,#N/A
1991-02-01,#N/A
1991-03-01,#N/A
1991-04-01,#N/A
1991-05-01,#N/A
1991-06-01,#N/A
1991-07-01,#N/A
1991-08-01,#N/A
1991-09-01,#N/A
1991-10-01,#N/A
1991-11-01,#N/A
1991-12-01,#N/A
1992-01-01,#N/A
1992-02-01,#N/A
1992-03-01,#N/A
1992-04-01,#N/A
1992-05-01,#N/A
1992-06-01,#N/A
1992-07-01,#N/A
1992-08-01,#N/A
1992-09-01,#N/A
1992-10-01,#N/A
1992-11-01,#N/A
1992-12-01,#N/A
1993-01-01,#N/A
1993-02-01,#N/A
1993-03-01,#N/A
1993-04-01,#N/A
1993-05-01,#N/A
1993-06-01,#N/A
1993-07-01,#N/A
1993-08-01,#N/A
1993-09-01,#N/A
1993-10-01,#N/A
1993-11-01,#N/A
1993-12-01,#N/A
1994-01-01,#N/A
1994-02-01,#N/A
1994-03-01,#N/A
1994-04-01,#N/A
1994-05-01,#N/A
1994-06-01,#N/A
1994-07-01,#N/A
1994-08-01,#N/A
1994-09-01,#N/A
1994-10-01,#N/A
1994-11-01,#N/A
1994-12-01,#N/A
1995-01-01,#N/A
1995-02-01,#N/A
1995-03-01,#N/A
1995-04-01,#N/A
1995-05-01,#N/A
1995-06-01,#N/A
1995-07-01,#N/A
1995-08-01,#N/A
1995-09-01,#N/A
1995-10-01,#N/A
1995-11-01,#N/A
1995-12-01,#N/A
1996-01-01,#N/A
1996-02-01,#N/A
1996-03-01,#N/A
1996-04-01,#N/A
1996-05-01,#N/A
1996-06-01,#N/A
1996-07-01,#N/A
1996-08-01,#N/A
1996-09-01,#N/A
1996-10-01,#N/A
1996-11-01,#N/A
1996-12-01,#N/A
1997-01-01,#N/A
1997-02-01,#N/A
1997-03-01,#N/A
1997-04-01,#N/A
1997-05-01,#N/A
1997-06-01,#N/A
1997-07-01,#N/A
1997-08-01,#N/A
1997-09-01,#N/A
1997-10-01,#N/A
1997-11-01,#N/A
1997-12-01,155.8
1998-01-01,#N/A
1998-02-01,162.5
1998-03-01,#N/A
1998-04-01,162.3
1998-05-01,#N/A
1998-06-01,161
1998-07-01,#N/A
1998-08-01,162
1998-09-01,#N/A
1998-10-01,164
1998-11-01,#N/A
1998-12-01,163.1
1999-01-01,#N/A
1999-02-01,167.6
1999-03-01,#N/A
1999-04-01,167
1999-05-01,#N/A
1999-06-01,165.1
1999-07-01,#N/A
1999-08-01,167.4
1999-09-01,#N/A
1999-10-01,164.7
1999-11-01,#N/A
1999-12-01,163.4
2000-01-01,#N/A
2000-02-01,169.6
2000-03-01,#N/A
2000-04-01,168.4
2000-05-01,#N/A
2000-06-01,168
2000-07-01,#N/A
2000-08-01,171.1
2000-09-01,#N/A
2000-10-01,172.4
2000-11-01,#N/A
2000-12-01,172.5
2001-01-01,#N/A
2001-02-01,172.5
2001-03-01,#N/A
2001-04-01,176.5
2001-05-01,#N/A
2001-06-01,175.7
2001-07-01,#N/A
2001-08-01,173.3
2001-09-01,#N/A
2001-10-01,170.6
2001-11-01,#N/A
2001-12-01,172.6
2002-01-01,#N/A
2002-02-01,173.1
2002-03-01,#N/A
2002-04-01,169
2002-05-01,#N/A
2002-06-01,176
2002-07-01,#N/A
2002-08-01,173
2002-09-01,#N/A
2002-10-01,174.6
2002-11-01,#N/A
2002-12-01,176.2
2003-01-01,#N/A
2003-02-01,174.9
2003-03-01,#N/A
2003-04-01,177.4
2003-05-01,#N/A
2003-06-01,175.9
2003-07-01,#N/A
2003-08-01,175.4
2003-09-01,#N/A
2003-10-01,180.2
2003-11-01,#N/A
2003-12-01,180.8
2004-01-01,#N/A
2004-02-01,177.1
2004-03-01,#N/A
2004-04-01,179.9
2004-05-01,#N/A
2004-06-01,179.9
2004-07-01,#N/A
2004-08-01,178.2
2004-09-01,#N/A
2004-10-01,182.5
2004-11-01,#N/A
2004-12-01,183
2005-01-01,#N/A
2005-02-01,183.3
2005-03-01,#N/A
2005-04-01,185.3
2005-05-01,#N/A
2005-06-01,184.3
2005-07-01,#N/A
2005-08-01,189.1
2005-09-01,#N/A
2005-10-01,200
2005-11-01,#N/A
2005-12-01,192.2
2006-01-01,#N/A
2006-02-01,198
2006-03-01,#N/A
2006-04-01,193.9
2006-05-01,#N/A
2006-06-01,195
2006-07-01,#N/A
2006-08-01,195.5
2006-09-01,#N/A
2006-10-01,199.1
2006-11-01,#N/A
2006-12-01,195.9
2007-01-01,#N/A
2007-02-01,200.69
2007-03-01,#N/A
2007-04-01,201.009
2007-05-01,#N/A
2007-06-01,204.459
2007-07-01,#N/A
2007-08-01,205.366
2007-09-01,#N/A
2007-10-01,207.435
2007-11-01,#N/A
2007-12-01,204.43
2008-01-01,#N/A
2008-02-01,208.363
2008-03-01,#N/A
2008-04-01,215.068
2008-05-01,#N/A
2008-06-01,212.101
2008-07-01,#N/A
2008-08-01,210.075
2008-09-01,#N/A
2008-10-01,211.081
2008-11-01,#N/A
2008-12-01,210.405
2009-01-01,#N/A
2009-02-01,214.715
2009-03-01,#N/A
2009-04-01,210.095
2009-05-01,#N/A
2009-06-01,214.897
2009-07-01,#N/A
2009-08-01,216.902
2009-09-01,#N/A
2009-10-01,217.323
2009-11-01,#N/A
2009-12-01,211.147
2010-01-01,#N/A
2010-02-01,217.939
2010-03-01,#N/A
2010-04-01,214.665
2010-05-01,#N/A
2010-06-01,215.358
2010-07-01,#N/A
2010-08-01,215.901
2010-09-01,#N/A
2010-10-01,215.163
2010-11-01,#N/A
2010-12-01,208.925
2011-01-01,#N/A
2011-02-01,213.22
2011-03-01,#N/A
2011-04-01,207.57
2011-05-01,#N/A
2011-06-01,205.927
2011-07-01,#N/A
2011-08-01,202.253
2011-09-01,#N/A
2011-10-01,204.052
2011-11-01,#N/A
2011-12-01,198.436
2012-01-01,#N/A
2012-02-01,202.23
2012-03-01,#N/A
2012-04-01,198.457
2012-05-01,#N/A
2012-06-01,207.695
2012-07-01,#N/A
2012-08-01,209.753
2012-09-01,#N/A
2012-10-01,210.034
2012-11-01,#N/A
2012-12-01,207.513
2013-01-01,#N/A
2013-02-01,212.012
2013-03-01,#N/A
2013-04-01,211.213
2013-05-01,#N/A
2013-06-01,211.126
2013-07-01,#N/A
2013-08-01,213.959
2013-09-01,#N/A
2013-10-01,216.054
2013-11-01,#N/A
2013-12-01,216.38
2014-01-01,#N/A
2014-02-01,220.019
2014-03-01,#N/A
2014-04-01,218.24
2014-05-01,#N/A
2014-06-01,216.806
2014-07-01,#N/A
2014-08-01,219.352
2014-09-01,#N/A
2014-10-01,222.233
2014-11-01,#N/A
2014-12-01,220.47
2015-01-01,#N/A
2015-02-01,218.335
2015-03-01,#N/A
2015-04-01,219.413
2015-05-01,#N/A
2015-06-01,220.375
2015-07-01,#N/A
2015-08-01,223.956
2015-09-01,#N/A
2015-10-01,224.201
2015-11-01,#N/A
2015-12-01,223.149
2016-01-01,#N/A
2016-02-01,226.936
2016-03-01,#N/A
2016-04-01,226.685
2016-05-01,#N/A
2016-06-01,228.167
2016-07-01,#N/A
2016-08-01,229.253
2016-09-01,#N/A
2016-10-01,229.744
2016-11-01,#N/A
2016-12-01,230.991
2017-01-01,#N/A
2017-02-01,234.344
2017-03-01,#N/A
2017-04-01,235.004
2017-05-01,#N/A
2017-06-01,230.103
2017-07-01,#N/A
2017-08-01,235.528
2017-09-01,#N/A
2017-10-01,235.909
2017-11-01,#N/A
2017-12-01,234.617
2018-01-01,#N/A
2018-02-01,235.389
2018-03-01,#N/A
2018-04-01,236.471
2018-05-01,#N/A
2018-06-01,236.458
2018-07-01,#N/A
2018-08-01,237.515
2018-09-01,#N/A
2018-10-01,241.984
2018-11-01,#N/A
2018-12-01,241.76
2019-01-01,#N/A
2019-02-01,243.486
2019-03-01,#N/A
2019-04-01,243.45
2019-05-01,#N/A
2019-06-01,247.778
2019-07-01,#N/A
2019-08-01,247.102
2019-09-01,#N/A
2019-10-01,247.39
2019-11-01,#N/A
2019-12-01,248.147
2020-01-01,#N/A
2020-02-01,248.019
2020-03-01,#N/A
2020-04-01,236.02
2020-05-01,#N/A
2020-06-01,250.088
2020-07-01,#N/A
2020-08-01,260.154
2020-09-01,#N/A
2020-10-01,259.056
2020-11-01,#N/A
2020-12-01,253.775
2021-01-01,#N/A
2021-02-01,262.556
2021-03-01,#N/A
2021-04-01,277.191
2021-05-01,#N/A
2021-06-01,280.02
2021-07-01,#N/A
2021-08-01,283.533
2021-09-01,#N/A
2021-10-01,284.625
2021-11-01,#N/A
2021-12-01,287.808
2022-01-01,#N/A
2022-02-01,291.338
2022-03-01,#N/A
2022-04-01,289.337
