FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
CUURA423SASL5,"Consumer Price Index for All Urban Consumers: Services Less Medical Care Services in Seattle-Tacoma-Bellevue WA (CBSA), Index 1982-1984=100, Monthly, Not Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,CUURA423SASL5
1978-06-01,#N/A
1978-07-01,58
1978-08-01,#N/A
1978-09-01,60.5
1978-10-01,#N/A
1978-11-01,61.5
1978-12-01,#N/A
1979-01-01,60.9
1979-02-01,#N/A
1979-03-01,62.4
1979-04-01,#N/A
1979-05-01,63.7
1979-06-01,#N/A
1979-07-01,65.4
1979-08-01,#N/A
1979-09-01,67.2
1979-10-01,#N/A
1979-11-01,68.9
1979-12-01,#N/A
1980-01-01,72.3
1980-02-01,#N/A
1980-03-01,75.2
1980-04-01,#N/A
1980-05-01,78.5
1980-06-01,#N/A
1980-07-01,80.9
1980-08-01,#N/A
1980-09-01,80.6
1980-10-01,#N/A
1980-11-01,83.1
1980-12-01,#N/A
1981-01-01,84.6
1981-02-01,#N/A
1981-03-01,87.2
1981-04-01,#N/A
1981-05-01,88.1
1981-06-01,#N/A
1981-07-01,91.3
1981-08-01,#N/A
1981-09-01,95.4
1981-10-01,#N/A
1981-11-01,94.9
1981-12-01,#N/A
1982-01-01,98.2
1982-02-01,#N/A
1982-03-01,96.5
1982-04-01,#N/A
1982-05-01,100.9
1982-06-01,#N/A
1982-07-01,95.7
1982-08-01,#N/A
1982-09-01,99.6
1982-10-01,#N/A
1982-11-01,96.9
1982-12-01,#N/A
1983-01-01,97.4
1983-02-01,#N/A
1983-03-01,97.5
1983-04-01,#N/A
1983-05-01,97.2
1983-06-01,#N/A
1983-07-01,98.7
1983-08-01,#N/A
1983-09-01,99.8
1983-10-01,#N/A
1983-11-01,100.7
1983-12-01,#N/A
1984-01-01,101.8
1984-02-01,#N/A
1984-03-01,102.4
1984-04-01,#N/A
1984-05-01,102.5
1984-06-01,#N/A
1984-07-01,103.4
1984-08-01,#N/A
1984-09-01,104.1
1984-10-01,#N/A
1984-11-01,105.1
1984-12-01,#N/A
1985-01-01,105.9
1985-02-01,#N/A
1985-03-01,105.7
1985-04-01,#N/A
1985-05-01,105.9
1985-06-01,#N/A
1985-07-01,106.7
1985-08-01,#N/A
1985-09-01,106.6
1985-10-01,#N/A
1985-11-01,108.4
1985-12-01,#N/A
1986-01-01,110.2
1986-02-01,#N/A
1986-03-01,110.7
1986-04-01,#N/A
1986-05-01,110.1
1986-06-01,#N/A
1986-07-01,110.1
1986-08-01,#N/A
1986-09-01,111
1986-10-01,#N/A
1986-11-01,111.6
1986-12-01,112
1987-01-01,#N/A
1987-02-01,#N/A
1987-03-01,#N/A
1987-04-01,#N/A
1987-05-01,#N/A
1987-06-01,#N/A
1987-07-01,#N/A
1987-08-01,#N/A
1987-09-01,#N/A
1987-10-01,#N/A
1987-11-01,#N/A
1987-12-01,#N/A
1988-01-01,#N/A
1988-02-01,#N/A
1988-03-01,#N/A
1988-04-01,#N/A
1988-05-01,#N/A
1988-06-01,#N/A
1988-07-01,#N/A
1988-08-01,#N/A
1988-09-01,#N/A
1988-10-01,#N/A
1988-11-01,#N/A
1988-12-01,#N/A
1989-01-01,#N/A
1989-02-01,#N/A
1989-03-01,#N/A
1989-04-01,#N/A
1989-05-01,#N/A
1989-06-01,#N/A
1989-07-01,#N/A
1989-08-01,#N/A
1989-09-01,#N/A
1989-10-01,#N/A
1989-11-01,#N/A
1989-12-01,#N/A
1990-01-01,#N/A
1990-02-01,#N/A
1990-03-01,#N/A
1990-04-01,#N/A
1990-05-01,#N/A
1990-06-01,#N/A
1990-07-01,#N/A
1990-08-01,#N/A
1990-09-01,#N/A
1990-10-01,#N/A
1990-11-01,#N/A
1990-12-01,#N/A
1991-01-01,#N/A
1991-02-01,#N/A
1991-03-01,#N/A
1991-04-01,#N/A
1991-05-01,#N/A
1991-06-01,#N/A
1991-07-01,#N/A
1991-08-01,#N/A
1991-09-01,#N/A
1991-10-01,#N/A
1991-11-01,#N/A
1991-12-01,#N/A
1992-01-01,#N/A
1992-02-01,#N/A
1992-03-01,#N/A
1992-04-01,#N/A
1992-05-01,#N/A
1992-06-01,#N/A
1992-07-01,#N/A
1992-08-01,#N/A
1992-09-01,#N/A
1992-10-01,#N/A
1992-11-01,#N/A
1992-12-01,#N/A
1993-01-01,#N/A
1993-02-01,#N/A
1993-03-01,#N/A
1993-04-01,#N/A
1993-05-01,#N/A
1993-06-01,#N/A
1993-07-01,#N/A
1993-08-01,#N/A
1993-09-01,#N/A
1993-10-01,#N/A
1993-11-01,#N/A
1993-12-01,#N/A
1994-01-01,#N/A
1994-02-01,#N/A
1994-03-01,#N/A
1994-04-01,#N/A
1994-05-01,#N/A
1994-06-01,#N/A
1994-07-01,#N/A
1994-08-01,#N/A
1994-09-01,#N/A
1994-10-01,#N/A
1994-11-01,#N/A
1994-12-01,#N/A
1995-01-01,#N/A
1995-02-01,#N/A
1995-03-01,#N/A
1995-04-01,#N/A
1995-05-01,#N/A
1995-06-01,#N/A
1995-07-01,#N/A
1995-08-01,#N/A
1995-09-01,#N/A
1995-10-01,#N/A
1995-11-01,#N/A
1995-12-01,#N/A
1996-01-01,#N/A
1996-02-01,#N/A
1996-03-01,#N/A
1996-04-01,#N/A
1996-05-01,#N/A
1996-06-01,#N/A
1996-07-01,#N/A
1996-08-01,#N/A
1996-09-01,#N/A
1996-10-01,#N/A
1996-11-01,#N/A
1996-12-01,#N/A
1997-01-01,#N/A
1997-02-01,#N/A
1997-03-01,#N/A
1997-04-01,#N/A
1997-05-01,#N/A
1997-06-01,#N/A
1997-07-01,#N/A
1997-08-01,#N/A
1997-09-01,#N/A
1997-10-01,#N/A
1997-11-01,#N/A
1997-12-01,177.6
1998-01-01,#N/A
1998-02-01,180.1
1998-03-01,#N/A
1998-04-01,181
1998-05-01,#N/A
1998-06-01,182.7
1998-07-01,#N/A
1998-08-01,183.9
1998-09-01,#N/A
1998-10-01,185.5
1998-11-01,#N/A
1998-12-01,186.2
1999-01-01,#N/A
1999-02-01,187.8
1999-03-01,#N/A
1999-04-01,188.3
1999-05-01,#N/A
1999-06-01,189.9
1999-07-01,#N/A
1999-08-01,190.7
1999-09-01,#N/A
1999-10-01,192
1999-11-01,#N/A
1999-12-01,191.8
2000-01-01,#N/A
2000-02-01,194
2000-03-01,#N/A
2000-04-01,194.6
2000-05-01,#N/A
2000-06-01,197
2000-07-01,#N/A
2000-08-01,198.4
2000-09-01,#N/A
2000-10-01,199.4
2000-11-01,#N/A
2000-12-01,199.5
2001-01-01,#N/A
2001-02-01,203.3
2001-03-01,#N/A
2001-04-01,204.4
2001-05-01,#N/A
2001-06-01,206.4
2001-07-01,#N/A
2001-08-01,208.7
2001-09-01,#N/A
2001-10-01,208.4
2001-11-01,#N/A
2001-12-01,208.4
2002-01-01,#N/A
2002-02-01,210
2002-03-01,#N/A
2002-04-01,210.6
2002-05-01,#N/A
2002-06-01,211.4
2002-07-01,#N/A
2002-08-01,212.4
2002-09-01,#N/A
2002-10-01,213.4
2002-11-01,#N/A
2002-12-01,212.3
2003-01-01,#N/A
2003-02-01,212.6
2003-03-01,#N/A
2003-04-01,213.3
2003-05-01,#N/A
2003-06-01,215.1
2003-07-01,#N/A
2003-08-01,217.4
2003-09-01,#N/A
2003-10-01,216.4
2003-11-01,#N/A
2003-12-01,214.3
2004-01-01,#N/A
2004-02-01,215.7
2004-03-01,#N/A
2004-04-01,213.5
2004-05-01,#N/A
2004-06-01,212.8
2004-07-01,#N/A
2004-08-01,213.9
2004-09-01,#N/A
2004-10-01,215.3
2004-11-01,#N/A
2004-12-01,215.3
2005-01-01,#N/A
2005-02-01,217.7
2005-03-01,#N/A
2005-04-01,219
2005-05-01,#N/A
2005-06-01,218.9
2005-07-01,#N/A
2005-08-01,219.5
2005-09-01,#N/A
2005-10-01,222.1
2005-11-01,#N/A
2005-12-01,221.9
2006-01-01,#N/A
2006-02-01,227.2
2006-03-01,#N/A
2006-04-01,229.2
2006-05-01,#N/A
2006-06-01,229.1
2006-07-01,#N/A
2006-08-01,231.4
2006-09-01,#N/A
2006-10-01,234.3
2006-11-01,#N/A
2006-12-01,232.7
2007-01-01,#N/A
2007-02-01,236.303
2007-03-01,#N/A
2007-04-01,238.625
2007-05-01,#N/A
2007-06-01,238.453
2007-07-01,#N/A
2007-08-01,242.194
2007-09-01,#N/A
2007-10-01,243.367
2007-11-01,#N/A
2007-12-01,244.158
2008-01-01,#N/A
2008-02-01,248.69
2008-03-01,#N/A
2008-04-01,248.685
2008-05-01,#N/A
2008-06-01,253.02
2008-07-01,#N/A
2008-08-01,254.468
2008-09-01,#N/A
2008-10-01,256.236
2008-11-01,#N/A
2008-12-01,258.565
2009-01-01,#N/A
2009-02-01,260.225
2009-03-01,#N/A
2009-04-01,260.714
2009-05-01,#N/A
2009-06-01,260.654
2009-07-01,#N/A
2009-08-01,261.384
2009-09-01,#N/A
2009-10-01,259.727
2009-11-01,#N/A
2009-12-01,258.63
2010-01-01,#N/A
2010-02-01,257.121
2010-03-01,#N/A
2010-04-01,256.454
2010-05-01,#N/A
2010-06-01,256.941
2010-07-01,#N/A
2010-08-01,258.624
2010-09-01,#N/A
2010-10-01,257.52
2010-11-01,#N/A
2010-12-01,258.3
2011-01-01,#N/A
2011-02-01,260.403
2011-03-01,#N/A
2011-04-01,259.603
2011-05-01,#N/A
2011-06-01,261.082
2011-07-01,#N/A
2011-08-01,263.228
2011-09-01,#N/A
2011-10-01,264.992
2011-11-01,#N/A
2011-12-01,265.478
2012-01-01,#N/A
2012-02-01,266.279
2012-03-01,#N/A
2012-04-01,267.352
2012-05-01,#N/A
2012-06-01,269.919
2012-07-01,#N/A
2012-08-01,271.178
2012-09-01,#N/A
2012-10-01,271.76
2012-11-01,#N/A
2012-12-01,271.647
2013-01-01,#N/A
2013-02-01,272.282
2013-03-01,#N/A
2013-04-01,273.809
2013-05-01,#N/A
2013-06-01,277.002
2013-07-01,#N/A
2013-08-01,277.617
2013-09-01,#N/A
2013-10-01,278.193
2013-11-01,#N/A
2013-12-01,278.033
2014-01-01,#N/A
2014-02-01,280.26
2014-03-01,#N/A
2014-04-01,283.535
2014-05-01,#N/A
2014-06-01,286.59
2014-07-01,#N/A
2014-08-01,286.16
2014-09-01,#N/A
2014-10-01,289.029
2014-11-01,#N/A
2014-12-01,287.833
2015-01-01,#N/A
2015-02-01,291.276
2015-03-01,#N/A
2015-04-01,293.692
2015-05-01,#N/A
2015-06-01,299.928
2015-07-01,#N/A
2015-08-01,299.751
2015-09-01,#N/A
2015-10-01,300.996
2015-11-01,#N/A
2015-12-01,301.352
2016-01-01,#N/A
2016-02-01,304.03
2016-03-01,#N/A
2016-04-01,307.596
2016-05-01,#N/A
2016-06-01,311.431
2016-07-01,#N/A
2016-08-01,313.084
2016-09-01,#N/A
2016-10-01,311.394
2016-11-01,#N/A
2016-12-01,315.287
2017-01-01,#N/A
2017-02-01,317.103
2017-03-01,#N/A
2017-04-01,319.23
2017-05-01,#N/A
2017-06-01,323.101
2017-07-01,#N/A
2017-08-01,324.217
2017-09-01,#N/A
2017-10-01,327.169
2017-11-01,#N/A
2017-12-01,330.145
2018-01-01,#N/A
2018-02-01,332.917
2018-03-01,#N/A
2018-04-01,333.967
2018-05-01,#N/A
2018-06-01,338.265
2018-07-01,#N/A
2018-08-01,338.419
2018-09-01,#N/A
2018-10-01,338.88
2018-11-01,#N/A
2018-12-01,341.309
2019-01-01,#N/A
2019-02-01,342.076
2019-03-01,#N/A
2019-04-01,345.811
2019-05-01,#N/A
2019-06-01,347.221
2019-07-01,#N/A
2019-08-01,351.538
2019-09-01,#N/A
2019-10-01,349.235
2019-11-01,#N/A
2019-12-01,353.312
2020-01-01,#N/A
2020-02-01,354.597
2020-03-01,#N/A
2020-04-01,352.587
2020-05-01,#N/A
2020-06-01,353.244
2020-07-01,#N/A
2020-08-01,355.545
2020-09-01,#N/A
2020-10-01,357.323
2020-11-01,#N/A
2020-12-01,356.202
2021-01-01,#N/A
2021-02-01,359.372
2021-03-01,#N/A
2021-04-01,361.856
2021-05-01,#N/A
2021-06-01,363.666
2021-07-01,#N/A
2021-08-01,363.777
2021-09-01,#N/A
2021-10-01,367.933
2021-11-01,#N/A
2021-12-01,369.703
2022-01-01,#N/A
2022-02-01,374.47
2022-03-01,#N/A
2022-04-01,385.022
